age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
23,300000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,42857.14285714287,89142.85714285713,89142.85714285713
24,312000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,54857.14285714287,180959.99999999997,180959.99999999997
25,324480.00000000006,178231.19999999998,0.0,78911.65714285715,257142.85714285713,257142.85714285713,67337.14285714293,265300.45714285714,265300.45714285714
26,337459.2,178231.19999999998,0.0,78911.65714285715,257142.85714285713,257142.85714285713,80316.34285714288,352171.128,352171.128
27,350957.5680000001,189085.48007999998,0.0,68057.37706285715,257142.85714285713,257142.85714285713,93814.71085714296,430793.6389028572,430793.6389028572
28,364995.87072000006,189085.48007999998,0.0,68057.37706285715,257142.85714285713,257142.85714285713,107853.01357714293,511774.8251328001,511774.8251328001
29,379595.7055488001,200600.78581687197,0.0,56542.07132598516,257142.85714285713,257142.85714285713,122452.84840594299,583670.1412127692,583670.1412127692
30,394779.5337707521,200600.78581687197,0.0,249202.07461133436,449802.86042820633,449802.86042820633,-55023.32665745425,850382.3200604867,850382.3200604867
31,410570.71512158215,212817.3736731195,0.0,12513.486755086837,225330.86042820633,225330.86042820633,185239.85469337582,888407.2764173881,888407.2764173881
32,426993.54372644547,212817.3736731195,0.0,13052.046755086834,225869.42042820633,225869.42042820633,201124.12329823914,928111.5414649966,928111.5414649966
33,444073.2854755033,225777.95172981248,0.0,640.7998983938596,226418.75162820634,226418.75162820634,217654.53384729696,956595.6876073405,956595.6876073405
34,461836.2168945235,225777.95172981248,0.0,1201.1177223938575,226979.06945220634,226979.06945220634,234857.14744231713,986494.6759579546,986494.6759579546
35,480309.66557030444,239527.82899015804,0.0,-11977.235357471713,227550.59363268633,227550.59363268633,252759.0719376181,1004112.2808792215,1004112.2808792215
36,499522.05219311663,239527.82899015804,0.0,-11394.280693382112,228133.54829677593,228133.54829677593,271388.5038963407,1022841.3686122161,1022841.3686122161
37,519502.9342808413,254115.07377565868,0.0,-25386.911721511337,228728.16205414734,228728.16205414734,290774.772226694,1028139.6979490714,1028139.6979490714
38,540283.0516520749,254115.07377565868,0.0,-24780.405688992527,229334.66808666615,229334.66808666615,310948.38356540876,1034203.4831985512,1034203.4831985512
39,561894.373718158,269590.6817685963,0.0,-39637.37752876096,229953.30423983533,229953.30423983533,331941.06947832264,1025592.2101657469,1025592.2101657469
40,584370.1486668843,269590.6817685963,0.0,-39006.368652528356,230584.31311606793,230584.31311606793,353785.8355508164,1017353.6078181909,1017353.6078181909
